br_class,mode,case_id,z1,z2,z3,rdx,rdy,rdz,cgx,cgy,cgz,devx,devy,devz,placed,unplaced,elapsed,timestamp_utc,run_id
BR1,six_way,13,0.948193,0.0,4.2524,2.5367,2.0975,2.5847,287.0295,114.0565,107.1568,7.4705,2.4435,2.8432,276,8,0.103727,2026-01-03T16:38:23.010146Z,20260103_163823.010146_seed0_six_way
BR1,six_way,14,0.896485,0.0,4.7365,0.3478,3.9553,7.7976,293.4756,111.8921,101.4227,1.0244,4.6079,8.5773,127,5,0.03659,2026-01-03T16:39:10.842903Z,20260103_163910.842903_seed0_six_way
BR1,six_way,15,0.912131,0.0,4.654,1.5564,6.2352,1.9224,289.9165,109.236,107.8854,4.5835,7.264,2.1146,105,14,0.009319,2026-01-03T16:39:48.867135Z,20260103_163948.867135_seed0_six_way
BR1,six_way,16,0.888667,0.0,5.7848,1.7369,5.1736,5.6471,289.3847,110.4727,103.7881,5.1153,6.0273,6.2119,125,34,0.147358,2026-01-03T16:42:31.601429Z,20260103_164231.601429_seed0_six_way
BR1,six_way,17,0.943744,0.0,3.9388,1.6806,4.2118,1.782,289.5505,111.5933,108.0398,4.9495,4.9067,1.9602,205,8,0.076968,2026-01-03T16:46:14.448949Z,20260103_164614.448949_seed0_six_way
BR1,six_way,18,0.881924,0.0,5.9347,1.8195,5.6689,5.3106,289.1417,109.8957,104.1584,5.3583,6.6043,5.8416,73,9,0.008033,2026-01-03T16:46:24.990538Z,20260103_164624.990538_seed0_six_way
BR1,six_way,19,0.92124,0.0,5.4812,3.6715,1.2869,3.7564,283.6875,115.0008,105.868,10.8125,1.4992,4.132,125,5,0.050362,2026-01-03T16:46:57.259126Z,20260103_164657.259126_seed0_six_way
BR1,six_way,20,0.87952,0.0,7.1302,4.6593,4.369,2.3447,280.7784,111.4101,107.4208,13.7216,5.0899,2.5792,79,9,0.005539,2026-01-03T16:47:14.150800Z,20260103_164714.150800_seed0_six_way
BR1,six_way,21,0.920624,0.0,3.3045,1.0372,3.8133,2.1968,291.4454,112.0576,107.5835,3.0546,4.4424,2.4165,68,11,0.004465,2026-01-03T16:47:28.731779Z,20260103_164728.731779_seed0_six_way
BR1,six_way,22,0.889558,0.0,6.3231,2.3003,4.0641,6.7822,287.7257,111.7653,102.5396,6.7743,4.7347,7.4604,106,10,0.055078,2026-01-03T16:48:39.342390Z,20260103_164839.342390_seed0_six_way
BR1,six_way,23,0.919462,0.0,4.3303,1.9596,2.7701,3.6299,288.7291,113.2729,106.0071,5.7709,3.2271,3.9929,105,23,0.058298,2026-01-03T16:50:08.550513Z,20260103_165008.550513_seed0_six_way
BR1,six_way,24,0.904419,0.0,7.1718,3.7824,3.6571,5.5598,283.3608,112.2395,103.8842,11.1392,4.2605,6.1158,105,9,0.018256,2026-01-03T16:50:53.426489Z,20260103_165053.426489_seed0_six_way
