br_class,mode,case_id,z1,z2,z3,rdx,rdy,rdz,cgx,cgy,cgz,devx,devy,devz,placed,unplaced,elapsed,timestamp_utc,run_id
BR0,six_way,69,0.810171,0.0,9.404762,4.0727,1.0627,13.6201,282.506,117.7381,95.0179,11.994,1.2381,14.9821,168,38,0.393946,2025-12-26T14:14:28.217287Z,20251226_141428.217287_seed0_six_way
BR0,six_way,70,0.81765,0.0,8.086721,2.3949,3.9359,11.4745,301.5528,111.9146,97.378,7.0528,4.5854,12.622,492,107,6.324492,2025-12-26T14:14:34.553585Z,20251226_141434.553585_seed0_six_way
BR0,six_way,71,0.676576,0.0,14.711538,3.1964,15.6075,15.035,285.0865,98.3173,93.4615,9.4135,18.1827,16.5385,52,24,0.030082,2025-12-26T14:14:34.599248Z,20251226_141434.599248_seed0_six_way
BR0,six_way,72,0.739456,0.0,12.0,2.2071,18.4549,7.2727,288.0,95.0,102.0,6.5,21.5,8.0,36,12,0.012116,2025-12-26T14:14:34.621795Z,20251226_141434.621795_seed0_six_way
BR0,six_way,73,0.772938,0.0,10.152778,2.3097,6.0086,15.142,287.6979,109.5,93.3438,6.8021,7.0,16.6562,96,27,0.086281,2025-12-26T14:14:34.726331Z,20251226_141434.726331_seed0_six_way
BR0,six_way,74,0.791865,0.0,14.30719,6.0588,8.6258,13.6631,276.6569,106.451,94.9706,17.8431,10.049,15.0294,51,13,0.027518,2025-12-26T14:14:34.778974Z,20251226_141434.778974_seed0_six_way
BR0,six_way,75,0.806391,0.0,9.698925,2.3632,12.3841,7.0088,287.5403,102.0726,102.2903,6.9597,14.4274,7.7097,124,29,0.157034,2025-12-26T14:14:34.948939Z,20251226_141434.948939_seed0_six_way
BR0,six_way,76,0.816208,0.0,10.322835,4.6175,8.9554,6.3064,280.9016,106.0669,103.063,13.5984,10.4331,6.937,254,56,1.034584,2025-12-26T14:14:35.995268Z,20251226_141435.995268_seed0_six_way
BR0,six_way,77,0.914991,0.0,3.759259,0.8678,6.0622,1.5088,291.9444,109.4375,108.3403,2.5556,7.0625,1.6597,144,12,0.213966,2025-12-26T14:14:36.223716Z,20251226_141436.223716_seed0_six_way
BR0,six_way,78,0.794591,0.0,9.6625,3.0688,12.8326,4.5455,285.4625,101.55,105.0,9.0375,14.95,5.0,80,20,0.058573,2025-12-26T14:14:36.311371Z,20251226_141436.311371_seed0_six_way
