br_class,mode,case_id,z1,z2,z3,rdx,rdy,rdz,cgx,cgy,cgz,devx,devy,devz,placed,unplaced,elapsed,timestamp_utc,run_id
BR0,six_way,80,0.864243,16.0,10.766667,7.3005,4.206,5.3636,273.0,111.6,104.1,21.5,4.9,5.9,105,16,0.066409,2025-12-25T16:23:40.779361Z,20251225_162340.779361_seed0_six_way
BR0,six_way,81,0.72138,22.0,15.333333,6.6214,22.7468,0.0,275.0,90.0,110.0,19.5,26.5,0.0,60,22,0.009927,2025-12-25T16:23:40.800242Z,20251225_162340.800242_seed0_six_way
BR0,six_way,82,0.790537,37.0,8.833333,0.6791,12.4464,9.0909,292.5,102.0,100.0,2.0,14.5,10.0,144,37,0.139073,2025-12-25T16:23:40.966387Z,20251225_162340.966387_seed0_six_way
BR0,six_way,83,0.754188,26.0,10.666667,1.3582,8.5837,16.3636,290.5,106.5,92.0,4.0,10.0,18.0,84,26,0.034901,2025-12-25T16:23:41.013009Z,20251225_162341.013009_seed0_six_way
BR0,six_way,84,0.915824,6.0,5.166667,3.2258,0.8584,4.5455,285.0,115.5,105.0,9.5,1.0,5.0,75,6,0.026749,2025-12-25T16:23:41.057608Z,20251225_162341.057608_seed0_six_way
BR0,six_way,85,0.949015,32.0,2.239583,0.3926,4.7747,0.0,293.3438,110.9375,110.0,1.1562,5.5625,0.0,640,32,1.449149,2025-12-25T16:23:42.526178Z,20251225_162342.526178_seed0_six_way
BR0,six_way,86,0.878641,44.0,5.005051,0.4846,1.1341,11.1515,293.0727,115.1788,97.7333,1.4273,1.3212,12.2667,330,44,0.85215,2025-12-25T16:23:43.394686Z,20251225_162343.394686_seed0_six_way
BR0,six_way,87,0.844253,40.0,9.98,4.7923,1.8884,12.3879,280.3867,114.3,96.3733,14.1133,2.2,13.6267,225,40,0.339619,2025-12-25T16:23:43.747966Z,20251225_162343.747966_seed0_six_way
BR0,six_way,88,0.794909,25.0,12.333333,5.6027,7.7253,10.4545,278.0,107.5,98.5,16.5,9.0,11.5,100,25,0.068608,2025-12-25T16:23:43.847815Z,20251225_162343.847815_seed0_six_way
BR0,six_way,89,0.798963,14.0,9.666667,3.2258,1.2876,16.3636,285.0,115.0,92.0,9.5,1.5,18.0,60,14,0.01733,2025-12-25T16:23:43.890697Z,20251225_162343.890697_seed0_six_way
